Home,Away,HG,AG,HAP,AAP,HLP,ALP,HAG,AAG,HAAG,AAAG
Cardiff,Tottenham,0,3,0.9,2.25,7,12,0.95,2.15,1.9,1.05
Everton,Leicester,0,1,1.35,1.4,4,6,1.55,1.2,1.5,1.15
Bournemouth,Watford,3,3,1.3,1.4,3,8,1.4,1.35,1.85,1.4
Chelsea,Southampton,0,0,2.15,0.75,12,6,1.9,1.05,0.8,1.9
Huddersfield,Burnley,1,2,0.5,0.75,0,6,0.6,0.95,1.75,2.05
Newcastle,Man United,0,2,0.9,1.75,5,12,0.75,2.05,1.35,1.6
West Ham,Brighton,2,2,1.35,1.25,9,4,1.35,1.1,1.5,1.35
Wolves,Crystal Palace,0,2,1.45,0.95,10,7,1.15,0.85,1.15,1.3
Man City,Liverpool,2,1,2.35,2.7,6,15,2.7,2.4,0.8,0.4
Brighton,Liverpool,0,1,1.238,2.571,5,12,1.143,2.333,1.381,0.476
Burnley,Fulham,2,1,0.857,0.667,6,5,1.0,0.905,2.0,2.238
Cardiff,Huddersfield,0,0,0.857,0.476,4,0,0.905,0.619,1.952,1.762
Chelsea,Newcastle,2,1,2.095,0.857,10,5,1.81,0.714,0.762,1.381
Crystal Palace,Watford,1,2,1.048,1.381,10,8,0.905,1.429,1.238,1.476
Leicester,Southampton,1,2,1.476,0.762,9,7,1.19,1.0,1.095,1.81
West Ham,Arsenal,1,0,1.333,1.952,7,7,1.381,2.19,1.524,1.476
Everton,Bournemouth,2,0,1.286,1.286,3,4,1.476,1.476,1.476,1.905
Tottenham,Man United,0,1,2.286,1.81,12,12,2.19,2.048,1.0,1.524
Man City,Wolves,3,0,2.381,1.381,9,7,2.667,1.095,0.81,1.19
Arsenal,Chelsea,2,0,1.864,2.136,7,10,2.091,1.818,1.455,0.773
Bournemouth,West Ham,2,0,1.227,1.409,4,7,1.409,1.364,1.909,1.455
Liverpool,Crystal Palace,4,3,2.591,1.0,12,7,2.273,0.909,0.455,1.273
Man United,Brighton,2,1,1.864,1.182,15,5,2.0,1.091,1.455,1.364
Newcastle,Cardiff,3,0,0.818,0.864,2,5,0.727,0.864,1.409,1.864
Southampton,Everton,2,1,0.864,1.364,7,6,1.045,1.5,1.773,1.409
